ID,Representativt dygn,År siffra,Månad siffra,Dag siffra,Nederbördsmängd
87,1995-11-27,1995,11,27,0.0
88,1995-11-28,1995,11,28,0.0
89,1995-11-29,1995,11,29,0.1
90,1995-11-30,1995,11,30,0.0
91,1995-12-01,1995,12,1,0.0
92,1995-12-02,1995,12,2,0.1
93,1995-12-03,1995,12,3,0.0
94,1995-12-04,1995,12,4,0.1
95,1995-12-05,1995,12,5,0.1
96,1995-12-06,1995,12,6,0.0
97,1995-12-07,1995,12,7,2.6
98,1995-12-08,1995,12,8,1.1
99,1995-12-09,1995,12,9,0.0
100,1995-12-10,1995,12,10,6.2
101,1995-12-11,1995,12,11,0.0
102,1995-12-12,1995,12,12,2.9
103,1995-12-13,1995,12,13,0.2
104,1995-12-14,1995,12,14,0.0
105,1995-12-15,1995,12,15,0.0
106,1995-12-16,1995,12,16,0.1
107,1995-12-17,1995,12,17,0.0
108,1995-12-18,1995,12,18,0.0
109,1995-12-19,1995,12,19,0.2
110,1995-12-20,1995,12,20,0.0
111,1995-12-21,1995,12,21,0.0
112,1995-12-22,1995,12,22,0.8
113,1995-12-23,1995,12,23,0.2
114,1995-12-24,1995,12,24,0.1
115,1995-12-25,1995,12,25,0.0
116,1995-12-26,1995,12,26,0.1
117,1995-12-27,1995,12,27,0.0
118,1995-12-28,1995,12,28,0.7
119,1995-12-29,1995,12,29,3.7
120,1995-12-30,1995,12,30,1.5
121,1995-12-31,1995,12,31,0.0
122,1996-01-01,1996,1,1,0.0
123,1996-01-02,1996,1,2,0.2
124,1996-01-03,1996,1,3,0.2
125,1996-01-04,1996,1,4,0.2
126,1996-01-05,1996,1,5,0.0
127,1996-01-06,1996,1,6,0.0
128,1996-01-07,1996,1,7,2.4
129,1996-01-08,1996,1,8,1.5
130,1996-01-09,1996,1,9,0.0
131,1996-01-10,1996,1,10,0.0
132,1996-01-11,1996,1,11,0.1
133,1996-01-12,1996,1,12,1.1
134,1996-01-13,1996,1,13,0.0
135,1996-01-14,1996,1,14,0.1
136,1996-01-15,1996,1,15,0.2
137,1996-01-16,1996,1,16,0.2
138,1996-01-17,1996,1,17,0.1
139,1996-01-18,1996,1,18,0.0
140,1996-01-19,1996,1,19,0.0
141,1996-01-20,1996,1,20,0.0
142,1996-01-21,1996,1,21,0.0
143,1996-01-22,1996,1,22,0.0
144,1996-01-23,1996,1,23,0.0
145,1996-01-24,1996,1,24,0.2
146,1996-01-25,1996,1,25,0.0
147,1996-01-26,1996,1,26,0.3
148,1996-01-27,1996,1,27,0.0
149,1996-01-28,1996,1,28,0.1
150,1996-01-29,1996,1,29,0.0
151,1996-01-30,1996,1,30,0.0
152,1996-01-31,1996,1,31,0.3
153,1996-02-01,1996,2,1,0.5
154,1996-02-02,1996,2,2,0.1
155,1996-02-03,1996,2,3,0.0
156,1996-02-04,1996,2,4,0.3
157,1996-02-05,1996,2,5,0.0
158,1996-02-06,1996,2,6,0.0
159,1996-02-07,1996,2,7,0.0
160,1996-02-08,1996,2,8,0.0
161,1996-02-09,1996,2,9,0.0
162,1996-02-10,1996,2,10,0.0
163,1996-02-11,1996,2,11,0.0
164,1996-02-12,1996,2,12,4.5
165,1996-02-13,1996,2,13,0.3
166,1996-02-14,1996,2,14,0.1
167,1996-02-15,1996,2,15,0.0
168,1996-02-16,1996,2,16,8.9
169,1996-02-17,1996,2,17,0.4
170,1996-02-18,1996,2,18,0.0
171,1996-02-19,1996,2,19,0.0
172,1996-02-20,1996,2,20,0.0
173,1996-02-21,1996,2,21,0.0
174,1996-02-22,1996,2,22,0.0
175,1996-02-23,1996,2,23,1.7
176,1996-02-24,1996,2,24,0.2
177,1996-02-25,1996,2,25,3.3
178,1996-02-26,1996,2,26,14.9
179,1996-02-27,1996,2,27,0.0
180,1996-02-28,1996,2,28,0.0
181,1996-02-29,1996,2,29,0.0
182,1996-03-01,1996,3,1,0.0
183,1996-03-02,1996,3,2,0.0
184,1996-03-03,1996,3,3,0.0
185,1996-03-04,1996,3,4,0.0
186,1996-03-05,1996,3,5,0.0
187,1996-03-06,1996,3,6,0.0
188,1996-03-07,1996,3,7,0.0
189,1996-03-08,1996,3,8,0.1
190,1996-03-09,1996,3,9,0.0
191,1996-03-10,1996,3,10,0.0
192,1996-03-11,1996,3,11,0.0
193,1996-03-12,1996,3,12,0.4
194,1996-03-13,1996,3,13,0.0
195,1996-03-14,1996,3,14,0.0
196,1996-03-15,1996,3,15,0.0
197,1996-03-16,1996,3,16,0.0
198,1996-03-17,1996,3,17,0.0
199,1996-03-18,1996,3,18,0.1
200,1996-03-19,1996,3,19,3.5
201,1996-03-20,1996,3,20,0.0
202,1996-03-21,1996,3,21,0.0
203,1996-03-22,1996,3,22,0.0
204,1996-03-23,1996,3,23,0.0
205,1996-03-24,1996,3,24,0.0
206,1996-03-25,1996,3,25,0.0
207,1996-03-26,1996,3,26,0.0
208,1996-03-27,1996,3,27,2.7
209,1996-03-28,1996,3,28,9.4
210,1996-03-29,1996,3,29,0.7
211,1996-03-30,1996,3,30,0.2
212,1996-03-31,1996,3,31,0.1
213,1996-04-01,1996,4,1,0.2
214,1996-04-02,1996,4,2,0.0
215,1996-04-03,1996,4,3,0.0
216,1996-04-04,1996,4,4,0.0
217,1996-04-05,1996,4,5,0.0
218,1996-04-06,1996,4,6,0.0
219,1996-04-07,1996,4,7,0.0
220,1996-04-08,1996,4,8,0.0
221,1996-04-09,1996,4,9,0.0
222,1996-04-10,1996,4,10,0.1
223,1996-04-11,1996,4,11,0.0
224,1996-04-12,1996,4,12,0.0
225,1996-04-13,1996,4,13,0.0
226,1996-04-14,1996,4,14,0.0
227,1996-04-15,1996,4,15,0.0
228,1996-04-16,1996,4,16,0.0
229,1996-04-17,1996,4,17,0.0
230,1996-04-18,1996,4,18,0.0
231,1996-04-19,1996,4,19,1.6
232,1996-04-20,1996,4,20,1.4
233,1996-04-21,1996,4,21,0.0
234,1996-04-22,1996,4,22,0.0
235,1996-04-23,1996,4,23,0.9
236,1996-04-24,1996,4,24,1.1
237,1996-04-25,1996,4,25,16.1
238,1996-04-26,1996,4,26,0.0
239,1996-04-27,1996,4,27,0.7
240,1996-04-28,1996,4,28,0.8
241,1996-04-29,1996,4,29,0.4
242,1996-04-30,1996,4,30,0.0
243,1996-05-01,1996,5,1,0.0
244,1996-05-02,1996,5,2,11.9
245,1996-05-03,1996,5,3,0.0
246,1996-05-04,1996,5,4,14.2
247,1996-05-05,1996,5,5,8.9
248,1996-05-06,1996,5,6,4.1
249,1996-05-07,1996,5,7,0.1
250,1996-05-08,1996,5,8,0.0
251,1996-05-09,1996,5,9,0.0
252,1996-05-10,1996,5,10,0.5
253,1996-05-11,1996,5,11,1.0
254,1996-05-12,1996,5,12,0.0
255,1996-05-13,1996,5,13,0.0
256,1996-05-14,1996,5,14,0.0
257,1996-05-15,1996,5,15,1.4
258,1996-05-16,1996,5,16,0.0
259,1996-05-17,1996,5,17,0.6
260,1996-05-18,1996,5,18,4.1
261,1996-05-19,1996,5,19,14.2
262,1996-05-20,1996,5,20,2.4
263,1996-05-21,1996,5,21,3.3
264,1996-05-22,1996,5,22,0.1
265,1996-05-23,1996,5,23,2.9
266,1996-05-24,1996,5,24,17.1
267,1996-05-25,1996,5,25,0.0
268,1996-05-26,1996,5,26,0.0
269,1996-05-27,1996,5,27,0.0
270,1996-05-28,1996,5,28,0.0
271,1996-05-29,1996,5,29,9.2
272,1996-05-30,1996,5,30,0.0
273,1996-05-31,1996,5,31,0.0
274,1996-06-01,1996,6,1,0.2
275,1996-06-02,1996,6,2,0.0
276,1996-06-03,1996,6,3,0.0
277,1996-06-04,1996,6,4,0.0
278,1996-06-05,1996,6,5,0.0
279,1996-06-06,1996,6,6,0.0
280,1996-06-07,1996,6,7,0.0
281,1996-06-08,1996,6,8,3.5
282,1996-06-09,1996,6,9,0.0
283,1996-06-10,1996,6,10,0.0
284,1996-06-11,1996,6,11,5.2
285,1996-06-12,1996,6,12,0.7
286,1996-06-13,1996,6,13,0.0
287,1996-06-14,1996,6,14,0.0
288,1996-06-15,1996,6,15,0.0
289,1996-06-16,1996,6,16,0.0
290,1996-06-17,1996,6,17,0.4
291,1996-06-18,1996,6,18,19.0
292,1996-06-19,1996,6,19,0.0
293,1996-06-20,1996,6,20,3.5
294,1996-06-21,1996,6,21,0.0
295,1996-06-22,1996,6,22,0.2
296,1996-06-23,1996,6,23,0.0
297,1996-06-24,1996,6,24,0.0
298,1996-06-25,1996,6,25,0.0
299,1996-06-26,1996,6,26,0.0
300,1996-06-27,1996,6,27,0.0
301,1996-06-28,1996,6,28,0.0
302,1996-06-29,1996,6,29,0.9
303,1996-06-30,1996,6,30,4.6
304,1996-07-01,1996,7,1,0.0
305,1996-07-02,1996,7,2,0.0
306,1996-07-03,1996,7,3,6.4
307,1996-07-04,1996,7,4,10.7
308,1996-07-05,1996,7,5,1.0
309,1996-07-06,1996,7,6,0.0
310,1996-07-07,1996,7,7,0.9
311,1996-07-08,1996,7,8,0.0
312,1996-07-09,1996,7,9,0.1
313,1996-07-10,1996,7,10,0.0
314,1996-07-11,1996,7,11,0.0
315,1996-07-12,1996,7,12,0.0
316,1996-07-13,1996,7,13,1.4
317,1996-07-14,1996,7,14,0.0
318,1996-07-15,1996,7,15,0.0
319,1996-07-16,1996,7,16,0.0
320,1996-07-17,1996,7,17,0.0
321,1996-07-18,1996,7,18,0.0
322,1996-07-19,1996,7,19,0.0
323,1996-07-20,1996,7,20,0.0
324,1996-07-21,1996,7,21,0.0
325,1996-07-22,1996,7,22,0.0
326,1996-07-23,1996,7,23,0.0
327,1996-07-24,1996,7,24,0.0
328,1996-07-25,1996,7,25,0.0
329,1996-07-26,1996,7,26,0.0
330,1996-07-27,1996,7,27,0.0
331,1996-07-28,1996,7,28,0.0
332,1996-07-29,1996,7,29,1.0
333,1996-07-30,1996,7,30,0.0
334,1996-07-31,1996,7,31,3.0
335,1996-08-01,1996,8,1,0.0
336,1996-08-02,1996,8,2,0.0
337,1996-08-03,1996,8,3,0.0
338,1996-08-04,1996,8,4,0.0
339,1996-08-05,1996,8,5,0.0
340,1996-08-06,1996,8,6,0.0
341,1996-08-07,1996,8,7,0.8
342,1996-08-08,1996,8,8,6.2
343,1996-08-09,1996,8,9,0.0
344,1996-08-10,1996,8,10,0.0
345,1996-08-11,1996,8,11,0.0
346,1996-08-12,1996,8,12,0.0
347,1996-08-13,1996,8,13,0.0
348,1996-08-14,1996,8,14,6.4
349,1996-08-15,1996,8,15,0.4
350,1996-08-16,1996,8,16,0.0
351,1996-08-17,1996,8,17,0.0
352,1996-08-18,1996,8,18,0.0
353,1996-08-19,1996,8,19,0.0
354,1996-08-20,1996,8,20,0.0
355,1996-08-21,1996,8,21,0.0
356,1996-08-22,1996,8,22,0.0
357,1996-08-23,1996,8,23,0.0
358,1996-08-24,1996,8,24,5.0
359,1996-08-25,1996,8,25,0.0
360,1996-08-26,1996,8,26,1.4
361,1996-08-27,1996,8,27,0.0
362,1996-08-28,1996,8,28,7.9
363,1996-08-29,1996,8,29,13.0
364,1996-08-30,1996,8,30,0.2
365,1996-08-31,1996,8,31,0.5
366,1996-09-01,1996,9,1,14.3
367,1996-09-02,1996,9,2,0.0
368,1996-09-03,1996,9,3,0.0
369,1996-09-04,1996,9,4,0.1
370,1996-09-05,1996,9,5,0.0
371,1996-09-06,1996,9,6,0.0
372,1996-09-07,1996,9,7,0.0
373,1996-09-08,1996,9,8,0.0
374,1996-09-09,1996,9,9,0.0
375,1996-09-10,1996,9,10,3.8
376,1996-09-11,1996,9,11,16.9
377,1996-09-12,1996,9,12,0.0
378,1996-09-13,1996,9,13,0.0
379,1996-09-14,1996,9,14,0.2
380,1996-09-15,1996,9,15,0.0
381,1996-09-16,1996,9,16,0.0
382,1996-09-17,1996,9,17,0.0
383,1996-09-18,1996,9,18,0.0
384,1996-09-19,1996,9,19,0.0
385,1996-09-20,1996,9,20,0.4
386,1996-09-21,1996,9,21,0.0
387,1996-09-22,1996,9,22,0.0
388,1996-09-23,1996,9,23,0.0
389,1996-09-24,1996,9,24,0.0
390,1996-09-25,1996,9,25,0.0
391,1996-09-26,1996,9,26,0.0
392,1996-09-27,1996,9,27,13.9
393,1996-09-28,1996,9,28,5.9
394,1996-09-29,1996,9,29,18.6
395,1996-09-30,1996,9,30,0.9
396,1996-10-01,1996,10,1,0.0
397,1996-10-02,1996,10,2,0.9
398,1996-10-03,1996,10,3,7.0
399,1996-10-04,1996,10,4,0.1
400,1996-10-05,1996,10,5,0.1
401,1996-10-06,1996,10,6,0.0
402,1996-10-07,1996,10,7,0.3
403,1996-10-08,1996,10,8,1.6
404,1996-10-09,1996,10,9,0.0
405,1996-10-10,1996,10,10,0.0
406,1996-10-11,1996,10,11,0.0
407,1996-10-12,1996,10,12,0.0
408,1996-10-13,1996,10,13,0.0
409,1996-10-14,1996,10,14,0.0
410,1996-10-15,1996,10,15,0.0
411,1996-10-16,1996,10,16,5.0
412,1996-10-17,1996,10,17,7.7
413,1996-10-18,1996,10,18,0.0
414,1996-10-19,1996,10,19,7.6
415,1996-10-20,1996,10,20,4.1
416,1996-10-21,1996,10,21,0.6
417,1996-10-22,1996,10,22,0.0
418,1996-10-23,1996,10,23,0.0
419,1996-10-24,1996,10,24,0.0
420,1996-10-25,1996,10,25,0.0
421,1996-10-26,1996,10,26,1.1
422,1996-10-27,1996,10,27,15.2
423,1996-10-28,1996,10,28,6.9
424,1996-10-29,1996,10,29,0.6
425,1996-10-30,1996,10,30,1.0
426,1996-10-31,1996,10,31,18.0
427,1996-11-01,1996,11,1,4.5
428,1996-11-02,1996,11,2,0.0
429,1996-11-03,1996,11,3,5.0
430,1996-11-04,1996,11,4,17.5
431,1996-11-05,1996,11,5,12.0
432,1996-11-06,1996,11,6,8.5
433,1996-11-07,1996,11,7,0.5
434,1996-11-08,1996,11,8,0.0
435,1996-11-09,1996,11,9,4.5
436,1996-11-10,1996,11,10,0.0
437,1996-11-11,1996,11,11,2.0
438,1996-11-12,1996,11,12,19.0
439,1996-11-13,1996,11,13,0.0
440,1996-11-14,1996,11,14,0.0
441,1996-11-15,1996,11,15,2.5
442,1996-11-16,1996,11,16,0.0
443,1996-11-17,1996,11,17,0.5
444,1996-11-18,1996,11,18,5.5
445,1996-11-19,1996,11,19,6.0
446,1996-11-20,1996,11,20,0.5
447,1996-11-21,1996,11,21,1.0
448,1996-11-22,1996,11,22,6.7
449,1996-11-23,1996,11,23,0.2
450,1996-11-24,1996,11,24,0.6
451,1996-11-25,1996,11,25,0.0
452,1996-11-26,1996,11,26,0.0
453,1996-11-27,1996,11,27,0.0
454,1996-11-28,1996,11,28,0.2
455,1996-11-29,1996,11,29,0.2
456,1996-11-30,1996,11,30,0.1
457,1996-12-01,1996,12,1,2.2
458,1996-12-02,1996,12,2,1.7
459,1996-12-03,1996,12,3,2.3
460,1996-12-04,1996,12,4,2.6
461,1996-12-05,1996,12,5,0.0
462,1996-12-06,1996,12,6,0.2
463,1996-12-07,1996,12,7,0.0
464,1996-12-08,1996,12,8,0.0
465,1996-12-09,1996,12,9,0.0
466,1996-12-10,1996,12,10,0.1
467,1996-12-11,1996,12,11,1.4
468,1996-12-12,1996,12,12,1.0
469,1996-12-13,1996,12,13,0.1
470,1996-12-14,1996,12,14,17.6
471,1996-12-15,1996,12,15,0.1
472,1996-12-16,1996,12,16,0.0
473,1996-12-17,1996,12,17,0.1
474,1996-12-18,1996,12,18,0.7
475,1996-12-19,1996,12,19,0.2
476,1996-12-20,1996,12,20,0.0
477,1996-12-21,1996,12,21,0.0
478,1996-12-22,1996,12,22,0.0
479,1996-12-23,1996,12,23,0.3
480,1996-12-24,1996,12,24,0.1
481,1996-12-25,1996,12,25,0.0
482,1996-12-26,1996,12,26,2.4
483,1996-12-27,1996,12,27,0.9
484,1996-12-28,1996,12,28,0.1
485,1996-12-29,1996,12,29,0.0
486,1996-12-30,1996,12,30,0.0
487,1996-12-31,1996,12,31,0.1
488,1997-01-01,1997,1,1,0.0
489,1997-01-02,1997,1,2,0.0
490,1997-01-03,1997,1,3,0.1
491,1997-01-04,1997,1,4,0.0
492,1997-01-05,1997,1,5,0.0
493,1997-01-06,1997,1,6,0.0
494,1997-01-07,1997,1,7,0.0
495,1997-01-08,1997,1,8,0.0
496,1997-01-09,1997,1,9,0.0
497,1997-01-10,1997,1,10,0.2
498,1997-01-11,1997,1,11,1.3
499,1997-01-12,1997,1,12,8.5
500,1997-01-13,1997,1,13,0.2
501,1997-01-14,1997,1,14,0.1
502,1997-01-15,1997,1,15,0.0
503,1997-01-16,1997,1,16,0.0
504,1997-01-17,1997,1,17,0.0
505,1997-01-18,1997,1,18,0.6
506,1997-01-19,1997,1,19,11.0
507,1997-01-20,1997,1,20,0.0
508,1997-01-21,1997,1,21,0.0
509,1997-01-22,1997,1,22,5.7
510,1997-01-23,1997,1,23,1.5
511,1997-01-24,1997,1,24,0.0
512,1997-01-25,1997,1,25,0.0
513,1997-01-26,1997,1,26,0.0
514,1997-01-27,1997,1,27,0.0
515,1997-01-28,1997,1,28,0.0
516,1997-01-29,1997,1,29,0.0
517,1997-01-30,1997,1,30,0.0
518,1997-01-31,1997,1,31,0.0
519,1997-02-01,1997,2,1,0.0
520,1997-02-02,1997,2,2,2.3
521,1997-02-03,1997,2,3,2.9
522,1997-02-04,1997,2,4,2.5
523,1997-02-05,1997,2,5,0.1
524,1997-02-06,1997,2,6,3.6
525,1997-02-07,1997,2,7,1.2
526,1997-02-08,1997,2,8,0.9
527,1997-02-09,1997,2,9,11.0
528,1997-02-10,1997,2,10,9.1
529,1997-02-11,1997,2,11,0.0
530,1997-02-12,1997,2,12,4.6
531,1997-02-13,1997,2,13,7.2
532,1997-02-14,1997,2,14,0.7
533,1997-02-15,1997,2,15,0.0
534,1997-02-16,1997,2,16,0.0
535,1997-02-17,1997,2,17,1.1
536,1997-02-18,1997,2,18,13.6
537,1997-02-19,1997,2,19,8.3
538,1997-02-20,1997,2,20,5.9
539,1997-02-21,1997,2,21,4.0
540,1997-02-22,1997,2,22,0.3
541,1997-02-23,1997,2,23,0.8
542,1997-02-24,1997,2,24,11.1
543,1997-02-25,1997,2,25,3.0
544,1997-02-26,1997,2,26,0.0
545,1997-02-27,1997,2,27,1.2
546,1997-02-28,1997,2,28,0.8
547,1997-03-01,1997,3,1,0.6
548,1997-03-02,1997,3,2,7.4
549,1997-03-03,1997,3,3,0.0
550,1997-03-04,1997,3,4,0.0
551,1997-03-05,1997,3,5,1.9
552,1997-03-06,1997,3,6,0.1
553,1997-03-07,1997,3,7,0.0
554,1997-03-08,1997,3,8,0.2
555,1997-03-09,1997,3,9,0.0
556,1997-03-10,1997,3,10,0.0
557,1997-03-11,1997,3,11,0.0
558,1997-03-12,1997,3,12,0.0
559,1997-03-13,1997,3,13,5.4
560,1997-03-14,1997,3,14,0.0
561,1997-03-15,1997,3,15,0.1
562,1997-03-16,1997,3,16,0.0
563,1997-03-17,1997,3,17,0.0
564,1997-03-18,1997,3,18,0.0
565,1997-03-19,1997,3,19,0.0
566,1997-03-20,1997,3,20,0.1
567,1997-03-21,1997,3,21,0.0
568,1997-03-22,1997,3,22,0.0
569,1997-03-23,1997,3,23,0.0
570,1997-03-24,1997,3,24,0.0
571,1997-03-25,1997,3,25,2.9
572,1997-03-26,1997,3,26,17.5
573,1997-03-27,1997,3,27,0.0
574,1997-03-28,1997,3,28,0.0
575,1997-03-29,1997,3,29,0.0
576,1997-03-30,1997,3,30,0.0
577,1997-03-31,1997,3,31,0.0
578,1997-04-01,1997,4,1,0.0
579,1997-04-02,1997,4,2,2.9
580,1997-04-03,1997,4,3,0.3
581,1997-04-04,1997,4,4,0.0
582,1997-04-05,1997,4,5,0.0
583,1997-04-06,1997,4,6,0.0
584,1997-04-07,1997,4,7,0.0
585,1997-04-08,1997,4,8,1.2
586,1997-04-09,1997,4,9,0.0
587,1997-04-10,1997,4,10,0.2
588,1997-04-11,1997,4,11,0.1
589,1997-04-12,1997,4,12,0.0
590,1997-04-13,1997,4,13,0.0
591,1997-04-14,1997,4,14,0.0
592,1997-04-15,1997,4,15,0.0
593,1997-04-16,1997,4,16,0.0
594,1997-04-17,1997,4,17,0.0
595,1997-04-18,1997,4,18,0.0
596,1997-04-19,1997,4,19,0.0
597,1997-04-20,1997,4,20,0.0
598,1997-04-21,1997,4,21,3.9
599,1997-04-22,1997,4,22,0.0
600,1997-04-23,1997,4,23,13.5
601,1997-04-24,1997,4,24,12.5
602,1997-04-25,1997,4,25,0.0
603,1997-04-26,1997,4,26,0.0
604,1997-04-27,1997,4,27,0.0
605,1997-04-28,1997,4,28,2.1
606,1997-04-29,1997,4,29,1.2
607,1997-04-30,1997,4,30,0.0
608,1997-05-01,1997,5,1,0.0
609,1997-05-02,1997,5,2,0.0
610,1997-05-03,1997,5,3,0.0
611,1997-05-04,1997,5,4,13.0
612,1997-05-05,1997,5,5,0.2
613,1997-05-06,1997,5,6,16.4
614,1997-05-07,1997,5,7,0.0
615,1997-05-08,1997,5,8,0.6
616,1997-05-09,1997,5,9,0.9
617,1997-05-10,1997,5,10,0.0
618,1997-05-11,1997,5,11,9.4
619,1997-05-12,1997,5,12,1.1
620,1997-05-13,1997,5,13,0.3
621,1997-05-14,1997,5,14,0.7
622,1997-05-15,1997,5,15,0.0
623,1997-05-16,1997,5,16,0.0
624,1997-05-17,1997,5,17,0.0
625,1997-05-18,1997,5,18,0.0
626,1997-05-19,1997,5,19,6.7
627,1997-05-20,1997,5,20,6.6
628,1997-05-21,1997,5,21,0.0
629,1997-05-22,1997,5,22,0.0
630,1997-05-23,1997,5,23,1.9
631,1997-05-24,1997,5,24,0.0
632,1997-05-25,1997,5,25,0.0
633,1997-05-26,1997,5,26,0.9
634,1997-05-27,1997,5,27,3.9
635,1997-05-28,1997,5,28,0.2
636,1997-05-29,1997,5,29,2.0
637,1997-05-30,1997,5,30,0.0
638,1997-05-31,1997,5,31,0.0
639,1997-06-01,1997,6,1,0.0
640,1997-06-02,1997,6,2,0.0
641,1997-06-03,1997,6,3,0.0
642,1997-06-04,1997,6,4,0.0
643,1997-06-05,1997,6,5,0.0
644,1997-06-06,1997,6,6,0.0
645,1997-06-07,1997,6,7,0.0
646,1997-06-08,1997,6,8,0.0
647,1997-06-09,1997,6,9,0.0
648,1997-06-10,1997,6,10,0.0
649,1997-06-11,1997,6,11,0.0
650,1997-06-12,1997,6,12,0.0
651,1997-06-13,1997,6,13,0.0
652,1997-06-14,1997,6,14,0.0
653,1997-06-15,1997,6,15,0.0
654,1997-06-16,1997,6,16,0.0
655,1997-06-17,1997,6,17,0.0
656,1997-06-18,1997,6,18,0.8
657,1997-06-19,1997,6,19,0.0
658,1997-06-20,1997,6,20,4.6
659,1997-06-21,1997,6,21,21.4
660,1997-06-22,1997,6,22,0.1
661,1997-06-23,1997,6,23,15.3
662,1997-06-24,1997,6,24,1.5
663,1997-06-25,1997,6,25,0.0
664,1997-06-26,1997,6,26,0.7
665,1997-06-27,1997,6,27,1.1
666,1997-06-28,1997,6,28,2.6
667,1997-06-29,1997,6,29,6.4
668,1997-06-30,1997,6,30,0.4
669,1997-07-01,1997,7,1,10.9
670,1997-07-02,1997,7,2,0.0
671,1997-07-03,1997,7,3,0.5
672,1997-07-04,1997,7,4,1.1
673,1997-07-05,1997,7,5,0.0
674,1997-07-06,1997,7,6,0.0
675,1997-07-07,1997,7,7,0.0
676,1997-07-08,1997,7,8,0.0
677,1997-07-09,1997,7,9,0.0
678,1997-07-10,1997,7,10,0.0
679,1997-07-11,1997,7,11,0.0
680,1997-07-12,1997,7,12,0.0
681,1997-07-13,1997,7,13,0.0
682,1997-07-14,1997,7,14,0.0
683,1997-07-15,1997,7,15,0.0
684,1997-07-16,1997,7,16,7.7
685,1997-07-17,1997,7,17,0.0
686,1997-07-18,1997,7,18,0.0
687,1997-07-19,1997,7,19,0.0
688,1997-07-20,1997,7,20,0.0
689,1997-07-21,1997,7,21,0.0
690,1997-07-22,1997,7,22,0.2
691,1997-07-23,1997,7,23,18.6
692,1997-07-24,1997,7,24,10.8
693,1997-07-25,1997,7,25,0.1
694,1997-07-26,1997,7,26,0.3
695,1997-07-27,1997,7,27,3.5
